일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2025-10-10,426000,30500,7.71,9787852,687087,-209482,-499501,-96393,-99407,-91085,-558,77,-218932,6797,19472,2424
2025-10-02,397500,37500,10.42,10976040,-832078,1032160,-201204,-107194,-93084,-45951,-6596,-1382,-90570,143573,7836,-6714
2025-10-01,364000,16500,4.75,4377467,-655791,243245,341827,75802,-7385,66752,27,2422,88606,115603,35552,35167
2025-09-30,348000,1000,-0.29,3138059,288752,-263934,-28479,-72780,-730,18556,6,-31,-33413,59913,2483,1178
2025-09-29,351000,14500,4.31,3480363,-536515,309111,226246,97156,1045,48702,,-913,-24173,104429,1004,154
2025-09-26,335500,21000,-5.89,5363347,1226452,-1148652,-92752,-55757,-9035,-21187,-72,-1945,17107,-21863,13085,1867
2025-09-25,354500,3000,-0.84,3140450,-133097,197408,-77557,29384,-9672,-8038,-135,80,-40392,-48784,13034,212
2025-09-24,357500,3500,-0.97,5794413,498454,-801590,293305,278225,-9768,33993,-5448,-150,-25472,21925,7969,1862
2025-09-23,362500,11500,3.28,5073977,-245844,6151,206933,43985,3536,46439,476,409,3506,108582,23188,9572
2025-09-22,352000,1000,-0.28,6245607,446996,-861069,404239,548019,-31381,-54422,-27,29,-51724,-6255,12743,-2909
2025-09-19,353000,,0,6407867,736153,-657503,-65081,-27383,-20288,-15037,2067,62,179,-4681,-18509,4940
2025-09-18,357000,23500,7.05,6979225,-191813,66044,99182,-6812,-11763,14235,4240,33,28504,70745,34684,-8097
2025-09-17,334500,13500,-3.88,6017608,617736,-606274,2078,39332,-27166,-8101,2525,120,-25868,21236,-15954,2414
2025-09-16,351000,20000,6.04,8110613,-630235,755015,-110667,62974,-33570,-9281,-1225,-1052,-8340,-120173,-22305,8192
2025-09-15,328000,500,-0.15,6323973,-73678,166560,-59728,5434,-55717,-17363,-866,1352,-14234,21666,-32603,-551
2025-09-12,330000,23000,7.49,6569716,-1570482,1226106,403069,350938,-33408,-76143,-3538,122,103685,61413,-65683,6990
2025-09-11,306500,2500,0.82,7029149,-689381,941242,-197564,261940,-15303,-389999,-5997,-80,-5653,-42472,-48472,-5825
2025-09-10,304500,16500,5.73,7278605,-2691731,2428520,347884,230753,-38165,75472,-15628,-1201,8701,87952,-73376,-11297
2025-09-09,287500,10500,3.79,5463759,-1514582,1431461,97444,-173074,-321,82048,-1292,437,113369,76277,-4787,-9536
2025-09-08,277500,4000,1.46,2727934,-592883,598631,65716,-30291,3482,128,40,-1,46617,45741,-67383,-4081
2025-09-05,273500,8000,3.01,4023761,-1400802,1203138,224182,82443,849,26535,3266,-2285,60483,52891,-21564,-4954
2025-09-04,266500,4000,1.52,2676955,-254618,34771,213328,137105,3287,7912,2998,-20,52410,9636,7151,-632
2025-09-03,264500,4000,1.54,2913306,-238884,382948,-127218,-93864,-3396,-7214,27,19,-28800,6010,-15872,-974
2025-09-02,258000,2000,0.78,2076296,-266345,443004,-166797,-114610,-1611,-11239,-2029,-1,-30438,-6869,-9908,46
2025-09-01,256500,12500,-4.65,2780682,599976,-501625,-93462,-26309,-8056,-23053,1791,-2511,-16837,-18487,-4638,-251
2025-08-29,267500,1000,-0.37,2353442,-278247,138067,183429,151204,15412,5730,806,,14130,-3853,-42520,-729
