일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2026-02-11,860000,16000,-1.83,4417213,536444,-488984,-65994,-41363,-189,-12482,-812,26,-25032,13858,17337,1197
2026-02-10,881000,6000,-0.68,4902140,-164401,82379,72562,101855,-7085,1534,337,-1803,-13441,-8835,7570,1890
2026-02-09,869000,30000,3.58,6314091,-929242,-111140,1012771,874651,-7159,26580,1845,400,2155,114299,27814,-203
2026-02-06,858000,16000,1.9,8703089,753643,-1214603,445894,299918,7510,31415,1723,3806,63012,38510,15151,-85
2026-02-05,854000,46000,-5.11,8446076,2798260,-2016160,-880458,-864010,6656,-33766,5682,1306,19595,-15921,83510,14848
2026-02-04,899000,8000,-0.88,5626527,809921,-1042172,202212,295031,-5410,-79792,3077,-7435,9446,-12705,26478,3561
2026-02-03,912000,82000,9.88,7906531,-592472,-506755,1053469,771734,5986,95630,812,769,72038,106500,34031,11727
2026-02-02,840000,69000,-7.59,11353860,2649008,-2034621,-688094,-818835,31393,4896,3228,465,73793,16966,63094,10613
2026-01-30,904000,43000,4.99,11084536,425469,-360486,-69867,-30326,-45600,7331,-1678,-2789,-4597,7792,5076,-192
2026-01-29,855000,14000,1.66,10144146,1043431,-975999,-114112,64319,-20951,-20291,-3447,-46,-23049,-110647,46859,-179
2026-01-28,862000,62000,7.75,11446049,455999,-314197,-164603,-103046,-35467,-26447,-3257,3942,14199,-14527,18139,4662
2026-01-27,805000,69000,9.38,8348749,-1181267,692041,513992,415367,-18174,27248,3654,9977,24795,51125,-18074,-6692
2026-01-26,740000,27000,-3.52,4582237,1050580,-540521,-542855,-445296,-865,-19700,-5006,-8104,-29671,-34213,26115,6681
2026-01-23,764000,9000,1.19,4881564,-353319,-2906,347267,356446,2869,-888,18,-3708,-35640,28170,9686,-728
2026-01-22,760000,20000,2.7,5424107,-370564,15509,334265,230262,-20281,-4619,698,-1628,29276,100557,23872,-3082
2026-01-21,745000,2000,0.27,6677197,139273,-158914,8865,-25053,-11904,13663,199,400,-7081,38641,15329,-4553
2026-01-20,730000,34000,-4.45,4865327,454863,-222011,-229869,-115969,-9376,-27199,-2037,-3508,-41251,-30529,-7766,4783
2026-01-19,757000,1000,0.13,5203696,-413470,-22984,406329,287297,-7058,-1108,2963,1955,-24032,146312,28365,1760
2026-01-16,758000,9000,1.2,5304078,-99352,-243806,331784,298864,-13952,-19794,-1499,1449,25078,41638,14095,-2721
2026-01-15,756000,14000,1.89,4419317,-163090,-259768,435132,473396,-6790,-18087,-4474,-2488,338,-6763,-10550,-1724
2026-01-14,736000,2000,-0.27,6041172,133497,-386297,251996,236316,-3475,-13818,41,-759,38203,-4512,1317,-513
2026-01-13,739000,10000,-1.34,5209718,863383,-929031,58458,89831,-11647,12088,3513,-489,-25601,-9237,10469,-3279
2026-01-12,745000,1000,0.13,4865558,-24845,5353,-9434,145070,-27586,-22765,1014,-2667,17807,-120307,27764,1162
2026-01-09,746000,10000,-1.32,6182469,1030268,-1253366,181480,341790,-25507,-37950,3927,-569,-20351,-79860,34631,6987
2026-01-08,763000,21000,2.83,9059190,421314,-146554,-278487,-130907,-35051,-17628,-805,-805,-8827,-84464,10413,-6686
2026-01-07,741000,15000,2.07,8061518,-637247,777751,-127828,9729,-40487,-45305,-103,-116,21889,-73435,-16144,3468
2026-01-06,714000,18000,2.59,7358971,-296178,399685,-102305,-74645,9126,-8617,2133,-2049,-9481,-18772,-2742,1540
2026-01-05,700000,23000,3.4,6573355,614,51757,-52803,21074,-38017,-54494,2038,-3851,-17076,37523,3287,-2855
2026-01-02,678000,27000,4.15,5707505,202450,-126347,-89858,-147135,-22858,15825,854,-433,55969,7920,31068,-17313
2025-12-30,652000,12000,1.88,5789931,339855,-158023,-200589,-307244,9556,54032,-20,683,14144,28260,4280,14477
2025-12-29,635000,36000,6.01,6460022,-106238,415795,-261522,-317126,-9587,35166,2163,-529,70885,-42494,-44757,-3278
2025-12-26,599000,11000,1.87,4243548,-1610353,1284414,319114,297148,-11089,-60994,-1,-19655,19003,94702,7003,-178
2025-12-24,588000,4000,0.68,2160697,-879200,720103,166819,165874,-2026,-17807,-255,-1836,-3480,26349,-5852,-1870
2025-12-23,584000,4000,0.69,2011188,-443815,156887,296850,346008,-6769,-28170,34,-38,4504,-18719,-16317,6395
2025-12-22,580000,33000,6.03,2878464,-1564175,695157,884279,858971,-4363,-16533,-3529,-620,-148,50501,-11887,-3374
2025-12-19,547000,5000,-0.91,3440005,-174550,-436625,612047,522083,-8476,310,-463,229,-2763,101127,1475,-2347
2025-12-18,552000,1000,0.18,2959059,-456566,283792,192569,198986,-930,571,-3,-1107,-7005,2057,-15021,-4774
